"","male","weather","maxtemp","RH","maxwind","holiday"
"1",1108,"Rain",13,87,0,0
"2",1459,"Rain",14,94,45,0
"3",1099,"Rain",14,82,55,0
"4",1651,"Sunny",13,78,0,0
"5",2117,"Rain",16,81,37,0
"6",2223,"Rain",16,73,0,0
"7",1401,"Sunny",17,80,0,0
"8",1308,"Sunny",17,70,32,0
"9",1329,"Sunny",16,72,0,0
"10",1228,"Sunny",16,72,53,0
"11",1581,"Sunny",16,62,0,0
"12",1970,"Sunny",18,47,50,0
"13",1601,"Sunny",16,49,0,0
"14",1279,"Sunny",17,67,29,0
"15",1341,"Sunny",19,51,35,0
"16",1686,"Sunny",18,62,27,0
"17",2162,"Sunny",20,54,48,1
"18",1579,"Sunny",16,80,55,0
"19",1254,"Sunny",13,63,74,0
"20",1522,"Sunny",10,55,55,0
"21",1388,"Rain",11,60,50,0
"22",1231,"Sunny",12,66,0,0
"23",1879,"Sunny",14,68,34,1
"24",1120,"Sunny",16,64,0,0
"25",1336,"Sunny",18,53,0,0
"26",1884,"Sunny",20,48,27,0
"27",1781,"Sunny",19,42,32,1
"28",1258,"Sunny",17,53,0,0
"29",1291,"Rain",19,46,0,0
"30",766,"Rain",19,56,29,0
"31",575,"Sunny",19,72,0,1
"32",1135,"Sunny",17,68,0,0
"33",1029,"Sunny",16,65,48,0
"34",1220,"Sunny",18,63,0,1
"35",708,"Sunny",22,51,29,0
"36",913,"Sunny",16,74,52,0
"37",706,"Rain",13,68,71,0
"38",769,"Rain",12,77,45,0
"39",900,"Rain",12,76,48,0
"40",1064,"Rain",13,70,47,0
"41",1112,"Rain",12,72,0,0
"42",764,"Sunny",13,68,45,0
"43",795,"Sunny",16,68,50,0
"44",1175,"Sunny",17,72,26,1
"45",1052,"Sunny",18,71,0,1
"46",1176,"Sunny",18,68,47,0
"47",1476,"Sunny",17,67,50,0
"48",1502,"Sunny",16,68,48,0
"49",1103,"Rain",14,73,0,0
"50",1125,"Rain",14,67,60,0
"51",1111,"Sunny",14,74,39,0
"52",901,"Sunny",14,69,52,0
"53",1327,"Sunny",18,64,47,0
"54",1870,"Sunny",20,52,35,0
"55",1638,"Sunny",23,43,42,0
"56",976,"Sunny",24,37,39,0
"57",821,"Sunny",23,39,39,0
"58",1146,"Sunny",19,69,0,0
"59",1229,"Sunny",16,67,0,0
"60",1408,"Rain",14,79,40,0
"61",2023,"Rain",13,87,0,0
"62",1633,"Rain",16,82,0,0
"63",1452,"Sunny",17,75,0,1
"64",853,"Sunny",18,84,0,0
"65",783,"Sunny",20,74,32,0
"66",1236,"Sunny",19,73,45,1
"67",1659,"Sunny",19,62,53,0
"68",1111,"Sunny",19,69,0,0
"69",798,"Rain",18,74,0,0
"70",485,"Rain",17,70,45,0
"71",170,"Rain",17,77,55,0
"72",839,"Sunny",17,76,47,0
"73",1166,"Sunny",17,66,53,0
"74",1346,"Sunny",18,74,53,1
"75",1585,"Sunny",22,59,48,0
"76",1650,"Sunny",21,55,53,0
"77",1314,"Sunny",27,33,35,1
"78",1693,"Sunny",28,24,35,0
"79",1590,"Sunny",26,38,47,0
"80",1370,"Sunny",17,30,0,0
"81",2254,"Sunny",26,38,37,0
"82",2469,"Sunny",27,38,52,1
"83",2368,"Sunny",29,32,52,0
"84",1953,"Sunny",21,55,55,0
"85",1987,"Sunny",19,73,53,0
"86",1740,"Sunny",23,64,0,0
"87",2012,"Sunny",29,47,40,1
"88",2194,"Sunny",29,43,47,0
"89",2867,"Sunny",32,37,40,0
"90",2404,"Sunny",30,38,34,0
"91",2026,"Sunny",30,34,24,0
"92",2256,"Sunny",30,27,0,0
"93",1877,"Sunny",27,39,0,0
"94",1907,"Sunny",21,83,0,0
"95",2482,"Sunny",18,88,0,0
"96",2792,"Sunny",20,86,26,0
"97",2391,"Sunny",19,86,0,0
"98",1837,"Sunny",21,77,39,0
"99",1852,"Sunny",22,74,32,0
"100",1758,"Sunny",23,77,32,0
"101",1813,"Sunny",23,80,35,0
"102",1814,"Sunny",22,73,39,0
"103",2113,"Sunny",21,71,0,0
"104",2200,"Sunny",21,68,0,0
"105",1881,"Sunny",22,69,50,0
"106",1881,"Sunny",22,64,40,0
"107",1994,"Sunny",23,69,32,0
"108",2484,"Sunny",21,73,0,0
"109",2173,"Sunny",20,70,0,0
"110",2476,"Sunny",20,69,0,0
"111",2574,"Rain",21,74,0,0
"112",1945,"Rain",21,72,27,0
"113",2049,"Sunny",26,54,40,0
"114",2088,"Sunny",26,56,42,0
"115",2120,"Sunny",23,66,0,0
"116",2724,"Sunny",22,67,0,0
"117",3761,"Sunny",21,68,42,0
"118",4448,"Sunny",22,66,0,0
"119",2255,"Sunny",22,71,0,0
"120",2132,"Sunny",22,71,0,0
"121",2010,"Sunny",21,70,0,0
"122",1854,"Sunny",22,61,0,0
"123",1891,"Sunny",28,39,39,0
"124",1963,"Sunny",30,33,39,0
"125",1877,"Sunny",29,40,35,0
"126",2057,"Sunny",23,73,0,0
"127",1961,"Sunny",24,71,37,0
"128",2066,"Sunny",26,66,34,0
"129",4455,"Sunny",26,70,32,1
"130",1909,"Sunny",22,69,45,0
"131",1878,"Sunny",23,71,52,0
"132",2132,"Sunny",23,69,0,0
"133",2008,"Sunny",27,52,0,0
"134",1782,"Sunny",28,31,29,1
"135",1709,"Sunny",26,54,29,0
"136",1670,"Sunny",24,66,0,1
"137",1881,"Sunny",22,68,52,0
"138",2030,"Sunny",22,72,50,0
"139",1844,"Sunny",24,59,37,0
"140",1894,"Sunny",22,65,34,0
"141",3850,"Sunny",23,66,34,0
"142",2354,"Sunny",23,55,35,0
"143",1826,"Sunny",23,53,47,0
"144",1848,"Sunny",24,48,40,0
"145",2128,"Sunny",26,33,34,0
"146",2089,"Sunny",26,34,0,0
"147",1889,"Sunny",26,40,42,0
"148",1977,"Sunny",27,37,37,0
"149",1860,"Sunny",24,45,0,0
"150",1882,"Sunny",23,63,37,0
"151",1860,"Sunny",22,72,0,0
"152",2493,"Sunny",20,70,0,1
"153",2518,"Sunny",19,61,0,0
"154",1805,"Sunny",21,54,0,0
"155",1705,"Sunny",22,73,29,0
"156",1869,"Sunny",24,57,35,0
"157",1600,"Sunny",26,37,37,0
"158",1975,"Sunny",26,33,0,0
"159",2640,"Sunny",24,49,50,0
"160",2018,"Sunny",22,73,0,1
"161",1806,"Sunny",20,73,50,0
"162",1855,"Sunny",21,70,0,0
"163",1697,"Sunny",20,74,47,0
"164",1724,"Sunny",22,68,0,0
"165",1741,"Sunny",24,46,42,0
"166",2399,"Sunny",24,42,35,1
"167",2445,"Sunny",26,46,29,1
"168",1755,"Sunny",22,68,37,0
"169",1684,"Sunny",21,81,0,0
"170",1889,"Rain",20,85,0,0
"171",1656,"Rain",20,83,52,0
"172",1009,"Rain",21,86,64,0
"173",1786,"Rain",19,91,55,0
"174",2333,"Rain",19,92,0,0
"175",1675,"Rain",20,99,0,0
"176",1503,"Rain",20,97,48,0
"177",1340,"Rain",20,93,40,0
"178",4142,"Rain",20,84,0,0
"179",1534,"Rain",19,86,0,0
"180",2110,"Sunny",19,79,0,0
"181",7045,"Sunny",21,68,39,0
"182",2081,"Sunny",22,57,40,0
"183",896,"Sunny",22,53,42,0
"184",1178,"Sunny",22,50,34,0
"185",1125,"Sunny",23,51,32,0
"186",1107,"Sunny",20,67,0,0
"187",2215,"Sunny",17,71,0,0
"188",1859,"Sunny",17,75,0,0
"189",1030,"Sunny",18,88,24,0
"190",975,"Rain",20,86,0,0
"191",955,"Sunny",19,85,40,0
"192",872,"Rain",21,86,39,0
"193",2280,"Rain",18,91,69,0
"194",1400,"Rain",18,87,0,0
"195",1475,"Rain",18,89,34,0
"196",1414,"Rain",20,85,63,0
"197",1107,"Rain",19,88,74,0
"198",1728,"Rain",19,92,0,0
"199",2216,"Rain",19,94,66,0
"200",1773,"Rain",17,89,0,0
"201",2319,"Sunny",17,89,34,0
"202",2000,"Rain",17,83,40,1
"203",1533,"Rain",14,86,29,0
"204",1218,"Sunny",14,69,0,0
"205",1034,"Sunny",14,62,34,0
"206",748,"Sunny",14,64,27,0
"207",1470,"Sunny",16,83,32,0
"208",2052,"Sunny",17,88,0,0
"209",2163,"Sunny",18,79,0,0
"210",1446,"Sunny",16,79,0,0
"211",1378,"Rain",17,87,0,0
"212",1315,"Sunny",17,76,0,0
"213",1298,"Sunny",17,80,0,0
"214",1801,"Sunny",16,94,0,0
"215",2159,"Sunny",14,76,0,0
"216",2639,"Sunny",16,82,0,0
"217",1365,"Sunny",16,75,0,0
"218",1235,"Sunny",17,72,48,0
"219",1234,"Sunny",16,73,42,0
"220",1196,"Sunny",17,55,53,0
"221",2088,"Sunny",13,56,0,0
"222",3768,"Sunny",10,63,50,0
"223",3294,"Sunny",11,69,0,0
"224",1918,"Rain",13,74,0,0
"225",1500,"Sunny",13,78,52,0
"226",1787,"Sunny",10,64,29,0
"227",1464,"Rain",9,79,0,0
"228",1929,"Rain",11,99,0,0
"229",2400,"Sunny",10,84,0,0
"230",2605,"Sunny",9,58,0,0
"231",1401,"Sunny",10,56,0,0
"232",1400,"Sunny",10,57,37,0
"233",1327,"Sunny",9,58,0,1
"234",1501,"Sunny",8,60,0,0
"235",1891,"Sunny",11,62,0,0
"236",2887,"Sunny",10,69,0,0
"237",2305,"Sunny",10,54,45,0
"238",1495,"Sunny",9,58,0,0
"239",1348,"Sunny",9,60,35,0
"240",1437,"Sunny",11,62,34,0
"241",1484,"Sunny",12,70,35,0
"242",855,"Sunny",11,67,0,0
"243",2429,"Sunny",9,72,34,0
"244",2284,"Rain",7,83,0,1
"245",1376,"Rain",8,83,39,0
"246",1373,"Sunny",10,75,37,0
"247",1466,"Rain",12,80,0,0
"248",1885,"Sunny",13,81,32,0
"249",3399,"Rain",13,94,29,0
"250",5259,"Rain",13,83,48,0
"251",2390,"Sunny",11,83,35,0
"252",1606,"Sunny",10,87,32,0
"253",1627,"Rain",11,90,24,0
"254",1880,"Rain",10,93,0,0
"255",2028,"Rain",12,86,74,0
"256",2227,"Sunny",9,69,0,0
"257",2967,"Sunny",9,68,0,1
