"","x"
"1","2013-04-09"
"2","2013-04-10"
"3","2013-04-11"
"4","2013-04-12"
"5","2013-04-13"
"6","2013-04-14"
"7","2013-04-15"
"8","2013-04-16"
"9","2013-04-17"
"10","2013-04-18"
"11","2013-04-19"
"12","2013-04-20"
"13","2013-04-21"
"14","2013-04-22"
"15","2013-04-23"
"16","2013-04-24"
"17","2013-04-25"
"18","2013-04-26"
"19","2013-04-27"
"20","2013-04-28"
"21","2013-04-29"
"22","2013-04-30"
"23","2013-05-01"
"24","2013-05-02"
"25","2013-05-03"
"26","2013-05-04"
"27","2013-05-05"
"28","2013-05-06"
"29","2013-05-07"
"30","2013-05-08"
"31","2013-05-09"
"32","2013-05-10"
"33","2013-05-11"
"34","2013-05-12"
"35","2013-05-13"
"36","2013-05-14"
"37","2013-05-15"
"38","2013-05-16"
"39","2013-05-17"
"40","2013-05-18"
"41","2013-05-19"
"42","2013-05-20"
"43","2013-05-21"
"44","2013-05-22"
"45","2013-05-23"
"46","2013-05-24"
"47","2013-05-25"
"48","2013-05-26"
"49","2013-05-27"
"50","2013-05-28"
"51","2013-05-29"
"52","2013-05-30"
"53","2013-05-31"
"54","2013-06-01"
"55","2013-06-02"
"56","2013-06-03"
"57","2013-06-04"
"58","2013-06-05"
"59","2013-06-06"
"60","2013-06-07"
"61","2013-06-08"
"62","2013-06-09"
"63","2013-06-10"
"64","2013-06-11"
"65","2013-06-12"
"66","2013-06-13"
"67","2013-06-14"
"68","2013-06-15"
"69","2013-06-16"
"70","2013-06-17"
"71","2013-06-18"
"72","2013-06-19"
"73","2013-06-20"
"74","2013-06-21"
"75","2013-06-22"
"76","2013-06-23"
"77","2013-06-24"
"78","2013-06-25"
"79","2013-06-26"
"80","2013-06-27"
"81","2013-06-28"
"82","2013-06-29"
"83","2013-06-30"
"84","2013-07-01"
"85","2013-07-02"
"86","2013-07-03"
"87","2013-07-04"
"88","2013-07-05"
"89","2013-07-06"
"90","2013-07-07"
"91","2013-07-08"
"92","2013-07-09"
"93","2013-07-10"
"94","2013-07-11"
"95","2013-07-12"
"96","2013-07-13"
"97","2013-07-14"
"98","2013-07-15"
"99","2013-07-16"
"100","2013-07-17"
"101","2013-07-18"
"102","2013-07-19"
"103","2013-07-20"
"104","2013-07-21"
"105","2013-07-22"
"106","2013-07-23"
"107","2013-07-24"
"108","2013-07-25"
"109","2013-07-26"
"110","2013-07-27"
"111","2013-07-28"
"112","2013-07-29"
"113","2013-07-30"
"114","2013-07-31"
"115","2013-08-01"
"116","2013-08-02"
