"","all","weather","maxtemp","RH","maxwind"
"1",2332,0,13,87,0
"2",2801,0,14,94,45
"3",2375,0,14,82,55
"4",3447,1,13,78,0
"5",4823,0,16,81,37
"6",4978,0,16,73,0
"7",2706,1,17,80,0
"8",2639,1,17,70,32
"9",2647,1,16,72,0
"10",2612,1,16,72,53
"11",3530,1,16,62,0
"12",4440,1,18,47,50
"13",3469,1,16,49,0
"14",2542,1,17,67,29
"15",2779,1,19,51,35
"16",4488,1,18,62,27
"17",5506,1,20,54,48
"18",2954,1,16,80,55
"19",2542,1,13,63,74
"20",2892,1,10,55,55
"21",2445,0,11,60,50
"22",2231,1,12,66,0
"23",3617,1,14,68,34
"24",2113,1,16,64,0
"25",2363,1,18,53,0
"26",3728,1,20,48,27
"27",3643,1,19,42,32
"28",2249,1,17,53,0
"29",2214,0,19,46,0
"30",1668,0,19,56,29
"31",1121,1,19,72,0
"32",2160,1,17,68,0
"33",2107,1,16,65,48
"34",2281,1,18,63,0
"35",1301,1,22,51,29
"36",1628,1,16,74,52
"37",1344,0,13,68,71
"38",1417,0,12,77,45
"39",1616,0,12,76,48
"40",2112,0,13,70,47
"41",2210,0,12,72,0
"42",1402,1,13,68,45
"43",1504,1,16,68,50
"44",2262,1,17,72,26
"45",2146,1,18,71,0
"46",2564,1,18,68,47
"47",3318,1,17,67,50
"48",3514,1,16,68,48
"49",2258,0,14,73,0
"50",2341,0,14,67,60
"51",2186,1,14,74,39
"52",1794,1,14,69,52
"53",2643,1,18,64,47
"54",4308,1,20,52,35
"55",3593,1,23,43,42
"56",2025,1,24,37,39
"57",1746,1,23,39,39
"58",3256,1,19,69,0
"59",3579,1,16,67,0
"60",4101,0,14,79,40
"61",4917,0,13,87,0
"62",4490,0,16,82,0
"63",3109,1,17,75,0
"64",1869,1,18,84,0
"65",1625,1,20,74,32
"66",2685,1,19,73,45
"67",3100,1,19,62,53
"68",2418.75,1,19,69,0
"69",1738,0,18,74,0
"70",1056.25,0,17,70,45
"71",375,0,17,77,55
"72",1689,1,17,76,47
"73",2569,1,17,66,53
"74",2722,1,18,74,53
"75",3290,1,22,59,48
"76",3494,1,21,55,53
"77",2822,1,27,33,35
"78",3620,1,28,24,35
"79",3512,1,26,38,47
"80",2643,1,17,30,0
"81",4783,1,26,38,37
"82",5136,1,27,38,52
"83",4911,1,29,32,52
"84",4054,1,21,55,55
"85",3963,1,19,73,53
"86",3709,1,23,64,0
"87",3847,1,29,47,40
"88",4448,1,29,43,47
"89",5963,1,32,37,40
"90",4818,1,30,38,34
"91",4028,1,30,34,24
"92",4381,1,30,27,0
"93",3926,1,27,39,0
"94",4063,1,21,83,0
"95",5069,1,18,88,0
"96",5762,1,20,86,26
"97",4816,1,19,86,0
"98",3576,1,21,77,39
"99",3743,1,22,74,32
"100",3679,1,23,77,32
