"window","model","mae","nmae"
"incremental","lm","718.81","9.84"
"incremental","mlpe","661.21","9.05"
"incremental","naive","640.92","8.77"
"incremental","ctree","626.11","8.57"
"incremental","mlp","669.37","9.16"
"incremental","randomForest","641.63","8.78"
"incremental","mr","718.81","9.84"
"incremental","rvm","857.78","11.74"
"incremental","ksvm","666.69","9.13"
"rolling","lm","666.69","9.13"
"rolling","mlpe","666.69","9.13"
"rolling","naive","666.69","9.13"
"rolling","ctree","666.69","9.13"
"rolling","mlp","666.69","9.13"
"rolling","randomForest","666.69","9.13"
"rolling","mr","666.69","9.13"
"rolling","rvm","666.69","9.13"
"rolling","ksvm","666.69","9.13"
