"window","uni","multi","mae","nmae"
"incremental","lm","lm","529.05","7.1"
"incremental","lm","mlpe","635.75","8.53"
"incremental","lm","naive","631.08","8.47"
"incremental","lm","ctree","548.5","7.36"
"incremental","lm","mlp","783.45","10.51"
"incremental","lm","randomForest","572.97","7.69"
"incremental","lm","mr","529.05","7.1"
"incremental","lm","rvm","710.46","9.54"
"incremental","lm","ksvm","504.62","6.77"
"incremental","mlpe","lm","646.71","8.68"
"incremental","mlpe","mlpe","549.57","7.38"
"incremental","mlpe","naive","631.08","8.47"
"incremental","mlpe","ctree","618.26","8.3"
"incremental","mlpe","mlp","602.8","8.09"
"incremental","mlpe","randomForest","538.4","7.23"
"incremental","mlpe","mr","685.29","9.2"
"incremental","mlpe","rvm","578.58","7.77"
"incremental","mlpe","ksvm","469.34","6.3"
"incremental","naive","lm","674.85","9.06"
"incremental","naive","mlpe","631.08","8.47"
"incremental","naive","naive","631.08","8.47"
"incremental","naive","ctree","623.75","8.37"
"incremental","naive","mlp","631.08","8.47"
"incremental","naive","randomForest","627.5","8.42"
"incremental","naive","mr","674.85","9.06"
"incremental","naive","rvm","849.56","11.4"
"incremental","naive","ksvm","643.49","8.64"
"incremental","ctree","lm","714.18","9.59"
"incremental","ctree","mlpe","1052.32","14.12"
"incremental","ctree","naive","631.08","8.47"
"incremental","ctree","ctree","715.96","9.61"
"incremental","ctree","mlp","977.33","13.12"
"incremental","ctree","randomForest","639.82","8.59"
"incremental","ctree","mr","714.18","9.59"
"incremental","ctree","rvm","790.63","10.61"
"incremental","ctree","ksvm","608.44","8.17"
"incremental","mlp","lm","707.33","9.49"
"incremental","mlp","mlpe","610.63","8.2"
"incremental","mlp","naive","631.08","8.47"
"incremental","mlp","ctree","826.97","11.1"
"incremental","mlp","mlp","545.36","7.32"
"incremental","mlp","randomForest","586.24","7.87"
"incremental","mlp","mr","946.49","12.7"
"incremental","mlp","rvm","674.7","9.06"
"incremental","mlp","ksvm","557.52","7.48"
"incremental","randomForest","lm","499.52","6.7"
"incremental","randomForest","mlpe","475.41","6.38"
"incremental","randomForest","naive","631.08","8.47"
"incremental","randomForest","ctree","467.7","6.28"
"incremental","randomForest","mlp","481.73","6.47"
"incremental","randomForest","randomForest","525.58","7.05"
"incremental","randomForest","mr","501.15","6.73"
"incremental","randomForest","rvm","505.8","6.79"
"incremental","randomForest","ksvm","481.5","6.46"
"incremental","mr","lm","529.05","7.1"
"incremental","mr","mlpe","613","8.23"
"incremental","mr","naive","631.08","8.47"
"incremental","mr","ctree","548.5","7.36"
"incremental","mr","mlp","700.32","9.4"
"incremental","mr","randomForest","568.88","7.63"
"incremental","mr","mr","529.05","7.1"
"incremental","mr","rvm","774.72","10.4"
"incremental","mr","ksvm","520.72","6.99"
"incremental","rvm","lm","797.21","10.7"
"incremental","rvm","mlpe","748.26","10.04"
"incremental","rvm","naive","631.08","8.47"
"incremental","rvm","ctree","661.38","8.88"
"incremental","rvm","mlp","758.28","10.18"
"incremental","rvm","randomForest","573.19","7.69"
"incremental","rvm","mr","810.69","10.88"
"incremental","rvm","rvm","857.38","11.51"
"incremental","rvm","ksvm","536.52","7.2"
"incremental","ksvm","lm","450.33","6.04"
"incremental","ksvm","mlpe","439.2","5.89"
"incremental","ksvm","naive","631.08","8.47"
"incremental","ksvm","ctree","454.81","6.1"
"incremental","ksvm","mlp","463.04","6.21"
"incremental","ksvm","randomForest","497.5","6.68"
"incremental","ksvm","mr","456.58","6.13"
"incremental","ksvm","rvm","542.28","7.28"
"incremental","ksvm","ksvm","435.07","5.84"
"incremental","HW","lm","398.71","5.35"
"incremental","HW","mlpe","476.59","6.4"
"incremental","HW","naive","634.88","8.52"
"incremental","HW","ctree","401.85","5.39"
"incremental","HW","mlp","581.7","7.81"
"incremental","HW","randomForest","414.45","5.56"
"incremental","HW","mr","398.71","5.35"
"incremental","HW","rvm","579.84","7.78"
"incremental","HW","ksvm","433.91","5.82"
"incremental","Arima","lm","504.82","6.78"
"incremental","Arima","mlpe","601.97","8.08"
"incremental","Arima","naive","630.2","8.46"
"incremental","Arima","ctree","541.44","7.27"
"incremental","Arima","mlp","898.63","12.06"
"incremental","Arima","randomForest","540.95","7.26"
"incremental","Arima","mr","504.82","6.78"
"incremental","Arima","rvm","674.51","9.05"
"incremental","Arima","ksvm","543.95","7.3"
"incremental","NN","lm","565.58","7.59"
"incremental","NN","mlpe","606.48","8.14"
"incremental","NN","naive","634.88","8.52"
"incremental","NN","ctree","568.18","7.63"
"incremental","NN","mlp","703.44","9.44"
"incremental","NN","randomForest","552.94","7.42"
"incremental","NN","mr","585.6","7.86"
"incremental","NN","rvm","675.6","9.07"
"incremental","NN","ksvm","511.29","6.86"
"incremental","ETS","lm","416.65","5.59"
"incremental","ETS","mlpe","681.66","9.15"
