"","adult","weather","maxtemp","RH","maxwind","holiday"
"1",1210,"Rain",13,87,0,0
"2",1562,"Rain",14,94,45,0
"3",1316,"Rain",14,82,55,0
"4",1841,"Sunny",13,78,0,0
"5",2505,"Rain",16,81,37,0
"6",2689,"Rain",16,73,0,0
"7",1558,"Sunny",17,80,0,0
"8",1529,"Sunny",17,70,32,0
"9",1495,"Sunny",16,72,0,0
"10",1548,"Sunny",16,72,53,0
"11",1984,"Sunny",16,62,0,0
"12",2358,"Sunny",18,47,50,0
"13",1875,"Sunny",16,49,0,0
"14",1500,"Sunny",17,67,29,0
"15",1620,"Sunny",19,51,35,0
"16",2736,"Sunny",18,62,27,0
"17",3208,"Sunny",20,54,48,1
"18",1686,"Sunny",16,80,55,0
"19",1443,"Sunny",13,63,74,0
"20",1618,"Sunny",10,55,55,0
"21",1424,"Rain",11,60,50,0
"22",1325,"Sunny",12,66,0,0
"23",1947,"Sunny",14,68,34,1
"24",1216,"Sunny",16,64,0,0
"25",1390,"Sunny",18,53,0,0
"26",2116,"Sunny",20,48,27,0
"27",2023,"Sunny",19,42,32,1
"28",1361,"Sunny",17,53,0,0
"29",1335,"Rain",19,46,0,0
"30",957,"Rain",19,56,29,0
"31",589,"Sunny",19,72,0,1
"32",1194,"Sunny",17,68,0,0
"33",1073,"Sunny",16,65,48,0
"34",1236,"Sunny",18,63,0,1
"35",732,"Sunny",22,51,29,0
"36",920,"Sunny",16,74,52,0
"37",689,"Rain",13,68,71,0
"38",772,"Rain",12,77,45,0
"39",888,"Rain",12,76,48,0
"40",1045,"Rain",13,70,47,0
"41",1164,"Rain",12,72,0,0
"42",773,"Sunny",13,68,45,0
"43",808,"Sunny",16,68,50,0
"44",1313,"Sunny",17,72,26,1
"45",1161,"Sunny",18,71,0,1
"46",1323,"Sunny",18,68,47,0
"47",1637,"Sunny",17,67,50,0
"48",1741,"Sunny",16,68,48,0
"49",1202,"Rain",14,73,0,0
"50",1236,"Rain",14,67,60,0
"51",1178,"Sunny",14,74,39,0
"52",951,"Sunny",14,69,52,0
"53",1433,"Sunny",18,64,47,0
"54",2150,"Sunny",20,52,35,0
"55",1858,"Sunny",23,43,42,0
"56",1142,"Sunny",24,37,39,0
"57",973,"Sunny",23,39,39,0
"58",2099,"Sunny",19,69,0,0
"59",2316,"Sunny",16,67,0,0
"60",2430,"Rain",14,79,40,0
"61",2749,"Rain",13,87,0,0
"62",2786,"Rain",16,82,0,0
"63",1554,"Sunny",17,75,0,1
"64",1023,"Sunny",18,84,0,0
