"","all","weather","maxtemp","RH","maxwind","holiday"
"1",2332,"Rain",13,87,0,0
"2",2801,"Rain",14,94,45,0
"3",2375,"Rain",14,82,55,0
"4",3447,"Sunny",13,78,0,0
"5",4823,"Rain",16,81,37,0
"6",4978,"Rain",16,73,0,0
"7",2706,"Sunny",17,80,0,0
"8",2639,"Sunny",17,70,32,0
"9",2647,"Sunny",16,72,0,0
"10",2612,"Sunny",16,72,53,0
"11",3530,"Sunny",16,62,0,0
"12",4440,"Sunny",18,47,50,0
"13",3469,"Sunny",16,49,0,0
"14",2542,"Sunny",17,67,29,0
"15",2779,"Sunny",19,51,35,0
"16",4488,"Sunny",18,62,27,0
"17",5506,"Sunny",20,54,48,1
"18",2954,"Sunny",16,80,55,0
"19",2542,"Sunny",13,63,74,0
"20",2892,"Sunny",10,55,55,0
"21",2445,"Rain",11,60,50,0
"22",2231,"Sunny",12,66,0,0
"23",3617,"Sunny",14,68,34,1
"24",2113,"Sunny",16,64,0,0
"25",2363,"Sunny",18,53,0,0
"26",3728,"Sunny",20,48,27,0
"27",3643,"Sunny",19,42,32,1
"28",2249,"Sunny",17,53,0,0
"29",2214,"Rain",19,46,0,0
"30",1668,"Rain",19,56,29,0
"31",1121,"Sunny",19,72,0,1
"32",2160,"Sunny",17,68,0,0
"33",2107,"Sunny",16,65,48,0
"34",2281,"Sunny",18,63,0,1
"35",1301,"Sunny",22,51,29,0
"36",1628,"Sunny",16,74,52,0
"37",1344,"Rain",13,68,71,0
"38",1417,"Rain",12,77,45,0
"39",1616,"Rain",12,76,48,0
"40",2112,"Rain",13,70,47,0
"41",2210,"Rain",12,72,0,0
"42",1402,"Sunny",13,68,45,0
"43",1504,"Sunny",16,68,50,0
"44",2262,"Sunny",17,72,26,1
"45",2146,"Sunny",18,71,0,1
"46",2564,"Sunny",18,68,47,0
"47",3318,"Sunny",17,67,50,0
"48",3514,"Sunny",16,68,48,0
"49",2258,"Rain",14,73,0,0
"50",2341,"Rain",14,67,60,0
"51",2186,"Sunny",14,74,39,0
