,date,all,female,male,young,adult,weather,maxtemp,RH,maxwind,holiday
1,2013-04-09,2332.0,1115.0,1108,1122,1210.0,Rain,13,87,0,0
2,2013-04-10,2801.0,1217.0,1459,1239,1562.0,Rain,14,94,45,0
3,2013-04-11,2375.0,1168.0,1099,1059,1316.0,Rain,14,82,55,0
4,2013-04-12,3447.0,1617.0,1651,1606,1841.0,Sunny,13,78,0,0
5,2013-04-13,4823.0,2469.0,2117,2318,2505.0,Rain,16,81,37,0
6,2013-04-14,4978.0,2564.0,2223,2289,2689.0,Rain,16,73,0,0
7,2013-04-15,2706.0,1192.0,1401,1148,1558.0,Sunny,17,80,0,0
8,2013-04-16,2639.0,1220.0,1308,1110,1529.0,Sunny,17,70,32,0
9,2013-04-17,2647.0,1178.0,1329,1152,1495.0,Sunny,16,72,0,0
10,2013-04-18,2612.0,1257.0,1228,1064,1548.0,Sunny,16,72,53,0
11,2013-04-19,3530.0,1749.0,1581,1546,1984.0,Sunny,16,62,0,0
12,2013-04-20,4440.0,2256.0,1970,2082,2358.0,Sunny,18,47,50,0
13,2013-04-21,3469.0,1695.0,1601,1594,1875.0,Sunny,16,49,0,0
14,2013-04-22,2542.0,1154.0,1279,1042,1500.0,Sunny,17,67,29,0
15,2013-04-23,2779.0,1324.0,1341,1159,1620.0,Sunny,19,51,35,0
16,2013-04-24,4488.0,2603.0,1686,1752,2736.0,Sunny,18,62,27,0
17,2013-04-25,5506.0,3095.0,2162,2298,3208.0,Sunny,20,54,48,1
18,2013-04-26,2954.0,1269.0,1579,1268,1686.0,Sunny,16,80,55,0
19,2013-04-27,2542.0,1187.0,1254,1099,1443.0,Sunny,13,63,74,0
20,2013-04-28,2892.0,1246.0,1522,1274,1618.0,Sunny,10,55,55,0
21,2013-04-29,2445.0,942.0,1388,1021,1424.0,Rain,11,60,50,0
22,2013-04-30,2231.0,896.0,1231,906,1325.0,Sunny,12,66,0,0
23,2013-05-01,3617.0,1589.0,1879,1670,1947.0,Sunny,14,68,34,1
24,2013-05-02,2113.0,885.0,1120,897,1216.0,Sunny,16,64,0,0
25,2013-05-03,2363.0,932.0,1336,973,1390.0,Sunny,18,53,0,0
26,2013-05-04,3728.0,1690.0,1884,1612,2116.0,Sunny,20,48,27,0
