"","male","weather","maxtemp","RH","maxwind"
"1",1108,0,13,87,0
"2",1459,0,14,94,45
"3",1099,0,14,82,55
"4",1651,1,13,78,0
"5",2117,0,16,81,37
"6",2223,0,16,73,0
"7",1401,1,17,80,0
"8",1308,1,17,70,32
"9",1329,1,16,72,0
"10",1228,1,16,72,53
"11",1581,1,16,62,0
"12",1970,1,18,47,50
"13",1601,1,16,49,0
"14",1279,1,17,67,29
"15",1341,1,19,51,35
"16",1686,1,18,62,27
"17",2162,1,20,54,48
"18",1579,1,16,80,55
"19",1254,1,13,63,74
"20",1522,1,10,55,55
"21",1388,0,11,60,50
"22",1231,1,12,66,0
"23",1879,1,14,68,34
"24",1120,1,16,64,0
"25",1336,1,18,53,0
"26",1884,1,20,48,27
"27",1781,1,19,42,32
"28",1258,1,17,53,0
"29",1291,0,19,46,0
"30",766,0,19,56,29
"31",575,1,19,72,0
"32",1135,1,17,68,0
"33",1029,1,16,65,48
"34",1220,1,18,63,0
"35",708,1,22,51,29
"36",913,1,16,74,52
"37",706,0,13,68,71
"38",769,0,12,77,45
"39",900,0,12,76,48
"40",1064,0,13,70,47
"41",1112,0,12,72,0
"42",764,1,13,68,45
"43",795,1,16,68,50
"44",1175,1,17,72,26
"45",1052,1,18,71,0
"46",1176,1,18,68,47
"47",1476,1,17,67,50
"48",1502,1,16,68,48
"49",1103,0,14,73,0
"50",1125,0,14,67,60
"51",1111,1,14,74,39
"52",901,1,14,69,52
"53",1327,1,18,64,47
"54",1870,1,20,52,35
"55",1638,1,23,43,42
"56",976,1,24,37,39
"57",821,1,23,39,39
"58",1146,1,19,69,0
"59",1229,1,16,67,0
"60",1408,0,14,79,40
"61",2023,0,13,87,0
"62",1633,0,16,82,0
"63",1452,1,17,75,0
"64",853,1,18,84,0
"65",783,1,20,74,32
"66",1236,1,19,73,45
"67",1659,1,19,62,53
"68",1111,1,19,69,0
"69",798,0,18,74,0
"70",485,0,17,70,45
"71",170,0,17,77,55
"72",839,1,17,76,47
"73",1166,1,17,66,53
"74",1346,1,18,74,53
"75",1585,1,22,59,48
"76",1650,1,21,55,53
"77",1314,1,27,33,35
"78",1693,1,28,24,35
"79",1590,1,26,38,47
"80",1370,1,17,30,0
"81",2254,1,26,38,37
"82",2469,1,27,38,52
"83",2368,1,29,32,52
"84",1953,1,21,55,55
"85",1987,1,19,73,53
"86",1740,1,23,64,0
"87",2012,1,29,47,40
"88",2194,1,29,43,47
"89",2867,1,32,37,40
"90",2404,1,30,38,34
"91",2026,1,30,34,24
"92",2256,1,30,27,0
"93",1877,1,27,39,0
"94",1907,1,21,83,0
"95",2482,1,18,88,0
"96",2792,1,20,86,26
"97",2391,1,19,86,0
"98",1837,1,21,77,39
"99",1852,1,22,74,32
"100",1758,1,23,77,32
"101",1813,1,23,80,35
"102",1814,1,22,73,39
"103",2113,1,21,71,0
"104",2200,1,21,68,0
"105",1881,1,22,69,50
"106",1881,1,22,64,40
"107",1994,1,23,69,32
"108",2484,1,21,73,0
"109",2173,1,20,70,0
"110",2476,1,20,69,0
"111",2574,0,21,74,0
"112",1945,0,21,72,27
"113",2049,1,26,54,40
"114",2088,1,26,56,42
"115",2120,1,23,66,0
"116",2724,1,22,67,0
"117",3761,1,21,68,42
"118",4448,1,22,66,0
"119",2255,1,22,71,0
"120",2132,1,22,71,0
"121",2010,1,21,70,0
"122",1854,1,22,61,0
"123",1891,1,28,39,39
"124",1963,1,30,33,39
"125",1877,1,29,40,35
"126",2057,1,23,73,0
"127",1961,1,24,71,37
"128",2066,1,26,66,34
"129",4455,1,26,70,32
"130",1909,1,22,69,45
"131",1878,1,23,71,52
"132",2132,1,23,69,0
"133",2008,1,27,52,0
"134",1782,1,28,31,29
"135",1709,1,26,54,29
"136",1670,1,24,66,0
"137",1881,1,22,68,52
"138",2030,1,22,72,50
"139",1844,1,24,59,37
"140",1894,1,22,65,34
"141",3850,1,23,66,34
"142",2354,1,23,55,35
"143",1826,1,23,53,47
"144",1848,1,24,48,40
"145",2128,1,26,33,34
"146",2089,1,26,34,0
"147",1889,1,26,40,42
"148",1977,1,27,37,37
"149",1860,1,24,45,0
"150",1882,1,23,63,37
"151",1860,1,22,72,0
"152",2493,1,20,70,0
"153",2518,1,19,61,0
"154",1805,1,21,54,0
"155",1705,1,22,73,29
"156",1869,1,24,57,35
"157",1600,1,26,37,37
