"","adult","weather","maxtemp","RH","maxwind"
"1",1210,0,13,87,0
"2",1562,0,14,94,45
"3",1316,0,14,82,55
"4",1841,1,13,78,0
"5",2505,0,16,81,37
"6",2689,0,16,73,0
"7",1558,1,17,80,0
"8",1529,1,17,70,32
"9",1495,1,16,72,0
"10",1548,1,16,72,53
"11",1984,1,16,62,0
"12",2358,1,18,47,50
"13",1875,1,16,49,0
"14",1500,1,17,67,29
"15",1620,1,19,51,35
"16",2736,1,18,62,27
"17",3208,1,20,54,48
"18",1686,1,16,80,55
"19",1443,1,13,63,74
"20",1618,1,10,55,55
"21",1424,0,11,60,50
"22",1325,1,12,66,0
"23",1947,1,14,68,34
"24",1216,1,16,64,0
"25",1390,1,18,53,0
"26",2116,1,20,48,27
"27",2023,1,19,42,32
"28",1361,1,17,53,0
"29",1335,0,19,46,0
"30",957,0,19,56,29
"31",589,1,19,72,0
"32",1194,1,17,68,0
"33",1073,1,16,65,48
"34",1236,1,18,63,0
"35",732,1,22,51,29
"36",920,1,16,74,52
"37",689,0,13,68,71
"38",772,0,12,77,45
"39",888,0,12,76,48
"40",1045,0,13,70,47
"41",1164,0,12,72,0
"42",773,1,13,68,45
"43",808,1,16,68,50
"44",1313,1,17,72,26
"45",1161,1,18,71,0
"46",1323,1,18,68,47
"47",1637,1,17,67,50
"48",1741,1,16,68,48
"49",1202,0,14,73,0
"50",1236,0,14,67,60
"51",1178,1,14,74,39
"52",951,1,14,69,52
"53",1433,1,18,64,47
"54",2150,1,20,52,35
"55",1858,1,23,43,42
"56",1142,1,24,37,39
"57",973,1,23,39,39
"58",2099,1,19,69,0
"59",2316,1,16,67,0
"60",2430,0,14,79,40
"61",2749,0,13,87,0
"62",2786,0,16,82,0
"63",1554,1,17,75,0
"64",1023,1,18,84,0
"65",855,1,20,74,32
"66",1435,1,19,73,45
"67",1788,1,19,62,53
"68",1387.75,1,19,69,0
"69",997,0,18,74,0
"70",606.25,0,17,70,45
"71",184,0,17,77,55
"72",895,1,17,76,47
"73",1420,1,17,66,53
"74",1532,1,18,74,53
"75",1881,1,22,59,48
"76",2034,1,21,55,53
"77",1631,1,27,33,35
"78",2055,1,28,24,35
"79",1888,1,26,38,47
"80",1501,1,17,30,0
"81",2659,1,26,38,37
"82",2885,1,27,38,52
"83",2743,1,29,32,52
"84",2256,1,21,55,55
"85",2260,1,19,73,53
"86",1990,1,23,64,0
"87",2223,1,29,47,40
"88",2442,1,29,43,47
"89",3276,1,32,37,40
"90",2743,1,30,38,34
"91",2321,1,30,34,24
"92",2480,1,30,27,0
"93",2219,1,27,39,0
"94",2214,1,21,83,0
"95",2851,1,18,88,0
"96",3167,1,20,86,26
"97",2697,1,19,86,0
"98",2013,1,21,77,39
"99",2113,1,22,74,32
"100",2021,1,23,77,32
"101",2042,1,23,80,35
"102",2031,1,22,73,39
"103",2369,1,21,71,0
"104",2480,1,21,68,0
"105",2157,1,22,69,50
"106",2137,1,22,64,40
"107",2292,1,23,69,32
"108",2762,1,21,73,0
"109",2417,1,20,70,0
"110",2687,1,20,69,0
"111",2953,0,21,74,0
"112",2226,0,21,72,27
"113",2325,1,26,54,40
"114",2279,1,26,56,42
"115",2420,1,23,66,0
"116",3141,1,22,67,0
"117",2000,1,21,68,42
"118",2000,1,22,66,0
"119",2560,1,22,71,0
"120",2423,1,22,71,0
"121",2339,1,21,70,0
"122",2086,1,22,61,0
"123",2203,1,28,39,39
"124",2349,1,30,33,39
"125",2094,1,29,40,35
"126",2355,1,23,73,0
"127",2195,1,24,71,37
"128",2385,1,26,66,34
"129",2000,1,26,70,32
"130",2068,1,22,69,45
"131",2146,1,23,71,52
"132",2403,1,23,69,0
"133",2312,1,27,52,0
"134",1918,1,28,31,29
"135",1849,1,26,54,29
"136",1911,1,24,66,0
"137",2070,1,22,68,52
"138",2290,1,22,72,50
"139",2092,1,24,59,37
"140",2172,1,22,65,34
"141",2000,1,23,66,34
"142",2780,1,23,55,35
"143",2003,1,23,53,47
"144",2112,1,24,48,40
"145",2406,1,26,33,34
"146",2328,1,26,34,0
"147",2187,1,26,40,42
"148",2234,1,27,37,37
"149",2084,1,24,45,0
"150",2110,1,23,63,37
"151",2078,1,22,72,0
"152",2829,1,20,70,0
"153",2933,1,19,61,0
"154",2063,1,21,54,0
"155",1929,1,22,73,29
"156",2281,1,24,57,35
"157",1973,1,26,37,37
"158",2240,1,26,33,0
"159",2997,1,24,49,50
"160",2521,1,22,73,0
"161",2256,1,20,73,50
"162",2317,1,21,70,0
"163",2121,1,20,74,47
"164",2154,1,22,68,0
"165",2175,1,24,46,42
"166",2997,1,24,42,35
"167",3055,1,26,46,29
"168",2193,1,22,68,37
"169",2104,1,21,81,0
"170",2360,0,20,85,0
"171",2068,0,20,83,52
"172",1176,0,21,86,64
"173",2121,0,19,91,55
"174",2437,0,19,92,0
"175",1813,0,20,99,0
"176",1672,0,20,97,48
"177",1430,0,20,93,40
"178",2000,0,20,84,0
"179",1739,0,19,86,0
"180",2382,1,19,79,0
"181",2000,1,21,68,39
"182",2438,1,22,57,40
"183",942,1,22,53,42
"184",1512,1,22,50,34
"185",1389,1,23,51,32
"186",1191,1,20,67,0
"187",2447,1,17,71,0
"188",2045,1,17,75,0
"189",1068,1,18,88,24
"190",1008,0,20,86,0
"191",1012,1,19,85,40
"192",924,0,21,86,39
"193",2471,0,18,91,69
"194",1399,0,18,87,0
"195",1468,0,18,89,34
"196",1473,0,20,85,63
"197",1164,0,19,88,74
"198",1944,0,19,92,0
"199",2405,0,19,94,66
"200",1853,0,17,89,0
"201",2385,1,17,89,34
"202",2152,0,17,83,40
"203",1670,0,14,86,29
"204",1224,1,14,69,0
"205",1059,1,14,62,34
"206",821,1,14,64,27
"207",1654,1,16,83,32
"208",2205,1,17,88,0
"209",2269,1,18,79,0
"210",1745,1,16,79,0
"211",1556,0,17,87,0
"212",1476,1,17,76,0
"213",1451,1,17,80,0
"214",1918,1,16,94,0
"215",2334,1,14,76,0
