"","all","weather","maxtemp","RH","maxwind","holiday"
"1",2332,0,13,87,0,0
"2",2801,0,14,94,45,0
"3",2375,0,14,82,55,0
"4",3447,1,13,78,0,0
"5",4823,0,16,81,37,0
"6",4978,0,16,73,0,0
"7",2706,1,17,80,0,0
"8",2639,1,17,70,32,0
"9",2647,1,16,72,0,0
"10",2612,1,16,72,53,0
"11",3530,1,16,62,0,0
"12",4440,1,18,47,50,0
"13",3469,1,16,49,0,0
"14",2542,1,17,67,29,0
"15",2779,1,19,51,35,0
"16",4488,1,18,62,27,0
"17",5506,1,20,54,48,1
"18",2954,1,16,80,55,0
"19",2542,1,13,63,74,0
"20",2892,1,10,55,55,0
"21",2445,0,11,60,50,0
"22",2231,1,12,66,0,0
"23",3617,1,14,68,34,1
"24",2113,1,16,64,0,0
"25",2363,1,18,53,0,0
"26",3728,1,20,48,27,0
"27",3643,1,19,42,32,1
"28",2249,1,17,53,0,0
"29",2214,0,19,46,0,0
"30",1668,0,19,56,29,0
"31",1121,1,19,72,0,1
"32",2160,1,17,68,0,0
"33",2107,1,16,65,48,0
"34",2281,1,18,63,0,1
"35",1301,1,22,51,29,0
"36",1628,1,16,74,52,0
"37",1344,0,13,68,71,0
"38",1417,0,12,77,45,0
"39",1616,0,12,76,48,0
"40",2112,0,13,70,47,0
"41",2210,0,12,72,0,0
"42",1402,1,13,68,45,0
"43",1504,1,16,68,50,0
"44",2262,1,17,72,26,1
"45",2146,1,18,71,0,1
"46",2564,1,18,68,47,0
"47",3318,1,17,67,50,0
"48",3514,1,16,68,48,0
"49",2258,0,14,73,0,0
"50",2341,0,14,67,60,0
"51",2186,1,14,74,39,0
"52",1794,1,14,69,52,0
"53",2643,1,18,64,47,0
"54",4308,1,20,52,35,0
"55",3593,1,23,43,42,0
"56",2025,1,24,37,39,0
"57",1746,1,23,39,39,0
"58",3256,1,19,69,0,0
"59",3579,1,16,67,0,0
"60",4101,0,14,79,40,0
"61",4917,0,13,87,0,0
"62",4490,0,16,82,0,0
