"","male","weather","maxtemp","RH","maxwind","holiday"
"1",1108,0,13,87,0,0
"2",1459,0,14,94,45,0
"3",1099,0,14,82,55,0
"4",1651,1,13,78,0,0
"5",2117,0,16,81,37,0
"6",2223,0,16,73,0,0
"7",1401,1,17,80,0,0
"8",1308,1,17,70,32,0
"9",1329,1,16,72,0,0
"10",1228,1,16,72,53,0
"11",1581,1,16,62,0,0
"12",1970,1,18,47,50,0
"13",1601,1,16,49,0,0
"14",1279,1,17,67,29,0
"15",1341,1,19,51,35,0
"16",1686,1,18,62,27,0
"17",2162,1,20,54,48,1
"18",1579,1,16,80,55,0
"19",1254,1,13,63,74,0
"20",1522,1,10,55,55,0
"21",1388,0,11,60,50,0
"22",1231,1,12,66,0,0
"23",1879,1,14,68,34,1
"24",1120,1,16,64,0,0
"25",1336,1,18,53,0,0
"26",1884,1,20,48,27,0
"27",1781,1,19,42,32,1
"28",1258,1,17,53,0,0
"29",1291,0,19,46,0,0
"30",766,0,19,56,29,0
"31",575,1,19,72,0,1
"32",1135,1,17,68,0,0
"33",1029,1,16,65,48,0
"34",1220,1,18,63,0,1
"35",708,1,22,51,29,0
"36",913,1,16,74,52,0
"37",706,0,13,68,71,0
"38",769,0,12,77,45,0
"39",900,0,12,76,48,0
"40",1064,0,13,70,47,0
"41",1112,0,12,72,0,0
"42",764,1,13,68,45,0
"43",795,1,16,68,50,0
"44",1175,1,17,72,26,1
"45",1052,1,18,71,0,1
"46",1176,1,18,68,47,0
"47",1476,1,17,67,50,0
"48",1502,1,16,68,48,0
"49",1103,0,14,73,0,0
"50",1125,0,14,67,60,0
"51",1111,1,14,74,39,0
"52",901,1,14,69,52,0
"53",1327,1,18,64,47,0
"54",1870,1,20,52,35,0
"55",1638,1,23,43,42,0
"56",976,1,24,37,39,0
"57",821,1,23,39,39,0
"58",1146,1,19,69,0,0
"59",1229,1,16,67,0,0
"60",1408,0,14,79,40,0
"61",2023,0,13,87,0,0
"62",1633,0,16,82,0,0
"63",1452,1,17,75,0,1
"64",853,1,18,84,0,0
"65",783,1,20,74,32,0
"66",1236,1,19,73,45,1
"67",1659,1,19,62,53,0
"68",1111,1,19,69,0,0
"69",798,0,18,74,0,0
"70",485,0,17,70,45,0
"71",170,0,17,77,55,0
"72",839,1,17,76,47,0
"73",1166,1,17,66,53,0
"74",1346,1,18,74,53,1
"75",1585,1,22,59,48,0
"76",1650,1,21,55,53,0
"77",1314,1,27,33,35,1
"78",1693,1,28,24,35,0
"79",1590,1,26,38,47,0
"80",1370,1,17,30,0,0
"81",2254,1,26,38,37,0
"82",2469,1,27,38,52,1
"83",2368,1,29,32,52,0
"84",1953,1,21,55,55,0
"85",1987,1,19,73,53,0
"86",1740,1,23,64,0,0
"87",2012,1,29,47,40,1
"88",2194,1,29,43,47,0
"89",2867,1,32,37,40,0
"90",2404,1,30,38,34,0
"91",2026,1,30,34,24,0
"92",2256,1,30,27,0,0
"93",1877,1,27,39,0,0
"94",1907,1,21,83,0,0
"95",2482,1,18,88,0,0
"96",2792,1,20,86,26,0
"97",2391,1,19,86,0,0
"98",1837,1,21,77,39,0
"99",1852,1,22,74,32,0
"100",1758,1,23,77,32,0
"101",1813,1,23,80,35,0
"102",1814,1,22,73,39,0
"103",2113,1,21,71,0,0
"104",2200,1,21,68,0,0
"105",1881,1,22,69,50,0
"106",1881,1,22,64,40,0
"107",1994,1,23,69,32,0
"108",2484,1,21,73,0,0
"109",2173,1,20,70,0,0
"110",2476,1,20,69,0,0
"111",2574,0,21,74,0,0
"112",1945,0,21,72,27,0
"113",2049,1,26,54,40,0
"114",2088,1,26,56,42,0
"115",2120,1,23,66,0,0
"116",2724,1,22,67,0,0
"117",3761,1,21,68,42,0
"118",4448,1,22,66,0,0
"119",2255,1,22,71,0,0
"120",2132,1,22,71,0,0
"121",2010,1,21,70,0,0
"122",1854,1,22,61,0,0
"123",1891,1,28,39,39,0
"124",1963,1,30,33,39,0
"125",1877,1,29,40,35,0
"126",2057,1,23,73,0,0
"127",1961,1,24,71,37,0
"128",2066,1,26,66,34,0
"129",4455,1,26,70,32,1
"130",1909,1,22,69,45,0
"131",1878,1,23,71,52,0
"132",2132,1,23,69,0,0
"133",2008,1,27,52,0,0
"134",1782,1,28,31,29,1
"135",1709,1,26,54,29,0
"136",1670,1,24,66,0,1
"137",1881,1,22,68,52,0
"138",2030,1,22,72,50,0
"139",1844,1,24,59,37,0
"140",1894,1,22,65,34,0
"141",3850,1,23,66,34,0
"142",2354,1,23,55,35,0
