"","young","weather","maxtemp","RH","maxwind","holiday"
"1",1122,0,13,87,0,0
"2",1239,0,14,94,45,0
"3",1059,0,14,82,55,0
"4",1606,1,13,78,0,0
"5",2318,0,16,81,37,0
"6",2289,0,16,73,0,0
"7",1148,1,17,80,0,0
"8",1110,1,17,70,32,0
"9",1152,1,16,72,0,0
"10",1064,1,16,72,53,0
"11",1546,1,16,62,0,0
"12",2082,1,18,47,50,0
"13",1594,1,16,49,0,0
"14",1042,1,17,67,29,0
"15",1159,1,19,51,35,0
"16",1752,1,18,62,27,0
"17",2298,1,20,54,48,1
"18",1268,1,16,80,55,0
"19",1099,1,13,63,74,0
"20",1274,1,10,55,55,0
"21",1021,0,11,60,50,0
"22",906,1,12,66,0,0
"23",1670,1,14,68,34,1
"24",897,1,16,64,0,0
"25",973,1,18,53,0,0
"26",1612,1,20,48,27,0
"27",1620,1,19,42,32,1
"28",888,1,17,53,0,0
"29",879,0,19,46,0,0
"30",711,0,19,56,29,0
"31",532,1,19,72,0,1
"32",966,1,17,68,0,0
"33",1034,1,16,65,48,0
"34",1045,1,18,63,0,1
"35",569,1,22,51,29,0
"36",708,1,16,74,52,0
"37",655,0,13,68,71,0
"38",645,0,12,77,45,0
"39",728,0,12,76,48,0
"40",1067,0,13,70,47,0
"41",1046,0,12,72,0,0
"42",629,1,13,68,45,0
"43",696,1,16,68,50,0
"44",949,1,17,72,26,1
"45",985,1,18,71,0,1
"46",1241,1,18,68,47,0
"47",1681,1,17,67,50,0
"48",1773,1,16,68,48,0
"49",1056,0,14,73,0,0
"50",1105,0,14,67,60,0
"51",1008,1,14,74,39,0
"52",843,1,14,69,52,0
"53",1210,1,18,64,47,0
"54",2158,1,20,52,35,0
"55",1735,1,23,43,42,0
"56",883,1,24,37,39,0
"57",773,1,23,39,39,0
"58",1157,1,19,69,0,0
"59",1263,1,16,67,0,0
"60",1671,0,14,79,40,0
"61",2168,0,13,87,0,0
"62",1704,0,16,82,0,0
"63",1555,1,17,75,0,1
"64",846,1,18,84,0,0
"65",770,1,20,74,32,0
"66",1250,1,19,73,45,1
"67",1312,1,19,62,53,0
"68",1031,1,19,69,0,0
"69",741,0,18,74,0,0
"70",450,0,17,70,45,0
"71",191,0,17,77,55,0
"72",794,1,17,76,47,0
"73",1149,1,17,66,53,0
"74",1190,1,18,74,53,1
"75",1409,1,22,59,48,0
"76",1460,1,21,55,53,0
"77",1191,1,27,33,35,1
"78",1565,1,28,24,35,0
"79",1624,1,26,38,47,0
"80",1142,1,17,30,0,0
"81",2124,1,26,38,37,0
"82",2251,1,27,38,52,1
"83",2168,1,29,32,52,0
"84",1798,1,21,55,55,0
"85",1703,1,19,73,53,0
"86",1719,1,23,64,0,0
"87",1624,1,29,47,40,1
"88",2006,1,29,43,47,0
"89",2687,1,32,37,40,0
"90",2075,1,30,38,34,0
"91",1707,1,30,34,24,0
"92",1901,1,30,27,0,0
"93",1707,1,27,39,0,0
"94",1849,1,21,83,0,0
"95",2218,1,18,88,0,0
"96",2595,1,20,86,26,0
"97",2119,1,19,86,0,0
"98",1563,1,21,77,39,0
"99",1630,1,22,74,32,0
"100",1658,1,23,77,32,0
