"window","model","mae","nmae"
"incremental","lm","515.422229302738","7.49705060803982"
"incremental","mlpe","564.731645543766","8.21427848063659"
"incremental","naive","532.987929370001","7.75255169992729"
"incremental","ctree","623.525663429584","9.0694641953394"
"incremental","mlp","657.923332892038","9.5697939329751"
"incremental","randomForest","437.530335714286","6.36407761038961"
"incremental","mr","515.422231207326","7.49705063574292"
"incremental","rvm","876.196439133942","12.7446754783119"
"incremental","ksvm","441.214929922633","6.41767170796558"
"incremental","HW","464.75","6.76"
"incremental","Arima","506.66","7.37"
"incremental","NN","549.88","8"
"incremental","ETS","473.63","6.89"
"rolling","lm","619.169668086051","9.00610426306983"
"rolling","mlpe","445.229199856693","6.47606108882463"
"rolling","naive","532.60119047619","7.74692640692641"
"rolling","ctree","598.405916265592","8.70408605477225"
"rolling","mlp","674.220656116854","9.80684590715424"
"rolling","randomForest","403.814371904762","5.87366359134199"
"rolling","mr","619.169668527834","9.00610426949576"
"rolling","rvm","608.832877988915","8.85575095256604"
"rolling","ksvm","418.181504647889","6.08264006760566"
"rolling","HW","505.68","7.36"
"rolling","Arima","492.98","7.17"
"rolling","NN","500.33","7.28"
"rolling","ETS","455.2","6.62"
