"window","model","mae","nmae"
"incremental","lm","554.6","19.94"
"incremental","mlpe","485.22","17.45"
"incremental","naive","467.91","16.83"
"incremental","ctree","457.31","16.44"
"incremental","mlp","516.67","18.58"
"incremental","randomForest","482.37","17.35"
"incremental","mr","554.6","19.94"
"incremental","rvm","659.81","23.73"
"incremental","ksvm","503.5","18.1"
"rolling","lm","503.5","18.1"
"rolling","mlpe","503.5","18.1"
"rolling","naive","503.5","18.1"
"rolling","ctree","503.5","18.1"
"rolling","mlp","503.5","18.1"
"rolling","randomForest","503.5","18.1"
"rolling","mr","503.5","18.1"
"rolling","rvm","503.5","18.1"
"rolling","ksvm","503.5","18.1"
