"window","uni","multi","mae","nmae"
"incremental","lm","lm","508.93","7.4"
"incremental","lm","mlpe","495.95","7.21"
"incremental","lm","naive","532.99","7.75"
"incremental","lm","ctree","561.75","8.17"
"incremental","lm","mlp","715","10.4"
"incremental","lm","randomForest","520.29","7.57"
"incremental","lm","mr","508.93","7.4"
"incremental","lm","rvm","657.07","9.56"
"incremental","lm","ksvm","494.82","7.2"
"incremental","mlpe","lm","550.95","8.01"
"incremental","mlpe","mlpe","619.53","9.01"
"incremental","mlpe","naive","532.99","7.75"
"incremental","mlpe","ctree","548.61","7.98"
"incremental","mlpe","mlp","693.88","10.09"
"incremental","mlpe","randomForest","569.79","8.29"
"incremental","mlpe","mr","689.06","10.02"
"incremental","mlpe","rvm","583.84","8.49"
"incremental","mlpe","ksvm","520.43","7.57"
"incremental","naive","lm","602.48","8.76"
"incremental","naive","mlpe","532.99","7.75"
"incremental","naive","naive","532.99","7.75"
"incremental","naive","ctree","571.63","8.31"
"incremental","naive","mlp","532.99","7.75"
"incremental","naive","randomForest","543.16","7.9"
"incremental","naive","mr","602.48","8.76"
"incremental","naive","rvm","758.07","11.03"
"incremental","naive","ksvm","536.8","7.81"
"incremental","ctree","lm","614.3","8.94"
"incremental","ctree","mlpe","714.38","10.39"
"incremental","ctree","naive","532.99","7.75"
"incremental","ctree","ctree","626.01","9.11"
"incremental","ctree","mlp","725.31","10.55"
"incremental","ctree","randomForest","576.93","8.39"
"incremental","ctree","mr","614.3","8.94"
"incremental","ctree","rvm","682.89","9.93"
"incremental","ctree","ksvm","550.06","8"
"incremental","mlp","lm","610.07","8.87"
"incremental","mlp","mlpe","492.57","7.16"
"incremental","mlp","naive","532.99","7.75"
"incremental","mlp","ctree","586.35","8.53"
"incremental","mlp","mlp","824.93","12"
"incremental","mlp","randomForest","516.56","7.51"
"incremental","mlp","mr","526.4","7.66"
"incremental","mlp","rvm","638.3","9.28"
"incremental","mlp","ksvm","497.94","7.24"
"incremental","randomForest","lm","515.86","7.5"
"incremental","randomForest","mlpe","479.43","6.97"
"incremental","randomForest","naive","532.99","7.75"
"incremental","randomForest","ctree","443.23","6.45"
"incremental","randomForest","mlp","506.83","7.37"
"incremental","randomForest","randomForest","473.11","6.88"
"incremental","randomForest","mr","503.64","7.33"
"incremental","randomForest","rvm","448.62","6.53"
"incremental","randomForest","ksvm","419.91","6.11"
"incremental","mr","lm","508.93","7.4"
"incremental","mr","mlpe","515.35","7.5"
"incremental","mr","naive","532.99","7.75"
"incremental","mr","ctree","561.75","8.17"
"incremental","mr","mlp","679.17","9.88"
